"board_name","list_name","card_name","osic_epic","days_since","checklist_count","checklist_item_count","checked_item_count","label_count","assignment_count","label_detail","assignnment_detail","url"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Load generation tooling","opportunistic",7,0,0,0,4,2,"newton-2","<No detail>","https://trello.com/c/hXNPSmXk/80-gnoben-ceilometer-load-generation-tooling"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","FLTMGT - Inventory Management MVP","FLTMGT",9,1,6,4,2,1,"Fleet Management","<No detail>","https://trello.com/c/pKZdfvoo/22-fltmgt-inventory-management-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","FLTMGT - Inventory Management MVP","FLTMGT",9,1,6,4,2,1,"High Priority","<No detail>","https://trello.com/c/pKZdfvoo/22-fltmgt-inventory-management-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","HZNFLT - Consistent API Side - Identity -> Users","opportunistic",9,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/4HYtleZY/84-hznflt-consistent-api-side-identity-users"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","HZNFLT - Consistent API Side - Identity -> Users","opportunistic",9,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/4HYtleZY/84-hznflt-consistent-api-side-identity-users"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","HZNFLT - Consistent API Side Filtering: Implement swift server side filtering","opportunistic",11,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/UnttrKKB/93-hznflt-consistent-api-side-filtering-implement-swift-server-side-filtering"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","HZNFLT - Consistent API Side Filtering: Implement swift server side filtering","opportunistic",11,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/UnttrKKB/93-hznflt-consistent-api-side-filtering-implement-swift-server-side-filtering"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Test design","opportunistic",9,1,4,1,4,3,"Opportunistic","<No detail>","https://trello.com/c/Q4z9irmg/20-gnoben-ceilometer-test-design"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Test design","opportunistic",9,1,4,1,4,3,"Ceilometer","<No detail>","https://trello.com/c/Q4z9irmg/20-gnoben-ceilometer-test-design"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Test design","opportunistic",9,1,4,1,4,3,"Medium Priority","<No detail>","https://trello.com/c/Q4z9irmg/20-gnoben-ceilometer-test-design"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Test design","opportunistic",9,1,4,1,4,3,"newton-2","<No detail>","https://trello.com/c/Q4z9irmg/20-gnoben-ceilometer-test-design"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Host preparation","opportunistic",9,0,0,0,4,2,"Opportunistic","<No detail>","https://trello.com/c/ouAT37vO/18-gnoben-ceilometer-host-preparation"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Host preparation","opportunistic",9,0,0,0,4,2,"Ceilometer","<No detail>","https://trello.com/c/ouAT37vO/18-gnoben-ceilometer-host-preparation"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Host preparation","opportunistic",9,0,0,0,4,2,"Medium Priority","<No detail>","https://trello.com/c/ouAT37vO/18-gnoben-ceilometer-host-preparation"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Host preparation","opportunistic",9,0,0,0,4,2,"newton-2","<No detail>","https://trello.com/c/ouAT37vO/18-gnoben-ceilometer-host-preparation"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","HZNOPT - Client-side Swift UI","opportunistic",1,0,0,0,0,1,"<No Labels>","<No detail>","https://trello.com/c/G14WjkHT/97-hznopt-client-side-swift-ui"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","HZNXST - Implement and document the new xstatic release process","opportunistic",1,0,0,0,0,1,"<No Labels>","<No detail>","https://trello.com/c/bh6mvvg8/99-hznxst-implement-and-document-the-new-xstatic-release-process"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Ansible role integration tests","opportunistic",0,1,8,0,4,1,"Opportunistic","<No detail>","https://trello.com/c/XqDm4tVA/45-gnoben-ceilometer-ansible-role-integration-tests"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Ansible role integration tests","opportunistic",0,1,8,0,4,1,"Ceilometer","<No detail>","https://trello.com/c/XqDm4tVA/45-gnoben-ceilometer-ansible-role-integration-tests"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Ansible role integration tests","opportunistic",0,1,8,0,4,1,"Medium Priority","<No detail>","https://trello.com/c/XqDm4tVA/45-gnoben-ceilometer-ansible-role-integration-tests"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Ansible role integration tests","opportunistic",0,1,8,0,4,1,"newton-2","<No detail>","https://trello.com/c/XqDm4tVA/45-gnoben-ceilometer-ansible-role-integration-tests"
"OSIC - Ceilometer/Horizon/FleetMgt","Waiting on External","HZNOVP - UX/UI design from OpenStack UX team","opportunistic",38,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/KHDZzB2B/52-hznovp-ux-ui-design-from-openstack-ux-team"
"OSIC - Ceilometer/Horizon/FleetMgt","Waiting on External","HZNOVP - UX/UI design from OpenStack UX team","opportunistic",38,0,0,0,2,0,"Low Priority","<No detail>","https://trello.com/c/KHDZzB2B/52-hznovp-ux-ui-design-from-openstack-ux-team"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNOPT - reduce memoization issues in cinder api","opportunistic",37,0,0,0,3,1,"Horizon","<No detail>","https://trello.com/c/ozRzFKKO/70-hznopt-reduce-memoization-issues-in-cinder-api"
